"Customer Reference ID","User's State","User's Country","Product Title","Product Code","Instance Type","Usage Units","Usage Unit Types","Offering Description","Estimated Revenue","Currency","Customer AWS Account Number","Customer Country","Customer State","Customer City","Customer Zip Code","Customer Email Domain","Offer ID","Offer Visibility","Solution Title","Solution ID","Payer Reference ID","Payer Address ID"
"fB6sHYNWJeE","surrey","GB","Informatica PowerCenter For Red Hat Linux (BYOL)","aiuhmjnu9qqdkztzj54s7nh15","m4.2xlarge","24","Hours","hourly","0.00","USD","840467561392","US","CT","STAMFORD","06905","affiniongroup.com","","","","","MeUBPy273oM","2MPuhVXtublRbbplOqRVaWnqlJiuc9Af8tw0U5/HjCM="
"fcwNjTM4v8f","Midlothian","GB","Informatica PowerCenter For Red Hat Linux (BYOL)","aiuhmjnu9qqdkztzj54s7nh15","m4.4xlarge","24","Hours","hourly","0.00","USD","078385750072","GB","","London","EC1N 2HT","sainsburysbank.co.uk","","","","","PSyHG2kQHGe","Z3xjdKPF2Qi0Th8up1pzew0cP/5cmxej1tzuHCMJEkM="
"JWU2RWjA9As","PA","US","Informatica PowerCenter For Red Hat Linux (BYOL)","aiuhmjnu9qqdkztzj54s7nh15","r3.xlarge","24","Hours","hourly","0.00","USD","174166784674","US","PA","HARRISBURG","17102","pheaa.org","","","","","gXVwDE482Wn","Dnjfqv+N+IWVivQ0FGzB12db4ZV47217JJcPHge/ifY="
"CPdLeYtSWFr","NY","US","Informatica PowerCenter For Red Hat Linux (BYOL)","aiuhmjnu9qqdkztzj54s7nh15","m4.2xlarge","24","Hours","hourly","0.00","USD","202164440126","US","NY","JERICHO","11753","deloitte.com","","","","","R6Smrj4Gd1K","ggWI5UldwIYTVkd++DMXjOq6lbCaJPBUuBpP9pjdp88="
"GQeuLw5qDkk","CA","US","Informatica PowerCenter For Red Hat Linux (BYOL)","aiuhmjnu9qqdkztzj54s7nh15","c5.xlarge","24","Hours","hourly","0.00","USD","011844863875","US","CA","HERCULES","94547","bio-rad.com","","","","","eQmZEo8LRWd","rlnSQrZKA3LN9I/8RXVWVSFXOgAgjUvDci/R/bt0E18="
"YA8f2bmCcsv","WA","US","Informatica Enterprise Data Catalog - Rhel","ea9rhy6qshwsphjkp39gwbmko","m5.2xlarge","24","Hours","hourly","0.00","USD","131619089115","US","NY","ROCHESTER","14623","eagleview.com","","","Informatica Enterprise Data Catalog","dbbc4c44-2535-4eeb-a670-51110ee604a1","FhkgmHjMPeE","S0ijLRCqNVZQLnG6lgW54nm1r22msL9bmiaeBByAano="
"jjwpsR88rdS","","BH","Informatica Intelligent Cloud Services ETL for Amazon PAYG","ca1ah6au715l3h594zaw0hnd4","c4.2xlarge","24","Hours","hourly","48.00","USD","995591159775","BH","","Hamala","1000","cloud.gov.bh","ca1ah6au715l3h594zaw0hnd4","Public","","","Ey3nvjhiWft","9qjnSszRBYiMY92TY/oLSCjvsWYx7TzKlWsobav0dqU="
"464a5r1PRhc","NJ","US","Informatica Enterprise Data Catalog","2hh82o246wij4w0fcz9f5h9wd","m4.2xlarge","24","Hours","hourly","0.00","USD","150047381276","US","NJ","Hoboken","07030","pearson.com","","","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","UPEDVxcYp6N","IlH0wkDyxnx9vwRyrUY1Z1fRpkpQRyIpH/de4B0ofhk="
"464a5r1PRhc","NJ","US","Informatica Enterprise Data Catalog","2hh82o246wij4w0fcz9f5h9wd","m5.2xlarge","24","Hours","hourly","0.00","USD","150047381276","US","NJ","Hoboken","07030","pearson.com","","","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","UPEDVxcYp6N","IlH0wkDyxnx9vwRyrUY1Z1fRpkpQRyIpH/de4B0ofhk="
"464a5r1PRhc","NJ","US","Informatica Hadoop-Cluster Image for EDC","7x2ci0we5b2vikhvg2iwjy0na","m4.4xlarge","24","Hours","hourly","0.00","USD","150047381276","US","NJ","Hoboken","07030","pearson.com","","","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","UPEDVxcYp6N","IlH0wkDyxnx9vwRyrUY1Z1fRpkpQRyIpH/de4B0ofhk="
